utterance_id,speaker_id
2277-149896-0000,2277
2277-149896-0001,2277
2277-149896-0002,2277
2277-149896-0003,2277
2277-149896-0004,2277
2035-147960-0000,2035
2035-147960-0001,2035
2035-147960-0002,2035
2035-147960-0003,2035
2035-147960-0004,2035
2086-149214-0000,2086
2086-149214-0001,2086
2086-149214-0002,2086
2086-149214-0003,2086
2086-149214-0004,2086
7976-110124-0000,7976
7976-110124-0001,7976
7976-110124-0002,7976
7976-110124-0003,7976
7976-110124-0004,7976
1988-147956-0000,1988
1988-147956-0001,1988
1988-147956-0002,1988
1988-147956-0003,1988
1988-147956-0004,1988
