group,utterance_a,speaker_a,utterance_b,speaker_b,condition_b,similarity
same_speaker,2277-149896-0000,2277,2277-149896-0001,2277,original,0.7917400598526001
same_speaker,2277-149896-0000,2277,2277-149896-0002,2277,original,0.7875006198883057
same_speaker,2277-149896-0000,2277,2277-149896-0003,2277,original,0.7366443276405334
same_speaker,2277-149896-0000,2277,2277-149896-0004,2277,original,0.6219764351844788
different_speaker,2277-149896-0000,2277,2035-147960-0000,2035,original,0.1347532868385315
different_speaker,2277-149896-0000,2277,2035-147960-0001,2035,original,0.13890214264392853
different_speaker,2277-149896-0000,2277,2035-147960-0002,2035,original,0.19773754477500916
different_speaker,2277-149896-0000,2277,2035-147960-0003,2035,original,0.1890222281217575
different_speaker,2277-149896-0000,2277,2035-147960-0004,2035,original,0.09906832873821259
different_speaker,2277-149896-0000,2277,2086-149214-0000,2086,original,-0.040165215730667114
different_speaker,2277-149896-0000,2277,2086-149214-0001,2086,original,-0.03700739145278931
different_speaker,2277-149896-0000,2277,2086-149214-0002,2086,original,-0.0069265663623809814
different_speaker,2277-149896-0000,2277,2086-149214-0003,2086,original,-0.04618661105632782
different_speaker,2277-149896-0000,2277,2086-149214-0004,2086,original,-0.03715831786394119
different_speaker,2277-149896-0000,2277,7976-110124-0000,7976,original,0.11863753944635391
different_speaker,2277-149896-0000,2277,7976-110124-0001,7976,original,0.20166078209877014
different_speaker,2277-149896-0000,2277,7976-110124-0002,7976,original,0.151590496301651
different_speaker,2277-149896-0000,2277,7976-110124-0003,7976,original,0.24121011793613434
different_speaker,2277-149896-0000,2277,7976-110124-0004,7976,original,0.1076163649559021
different_speaker,2277-149896-0000,2277,1988-147956-0000,1988,original,0.22964641451835632
different_speaker,2277-149896-0000,2277,1988-147956-0001,1988,original,0.22237248718738556
different_speaker,2277-149896-0000,2277,1988-147956-0002,1988,original,0.27886900305747986
different_speaker,2277-149896-0000,2277,1988-147956-0003,1988,original,0.07444946467876434
different_speaker,2277-149896-0000,2277,1988-147956-0004,1988,original,0.19282284379005432
same_speaker,2277-149896-0001,2277,2277-149896-0002,2277,original,0.7917596697807312
same_speaker,2277-149896-0001,2277,2277-149896-0003,2277,original,0.8061389327049255
same_speaker,2277-149896-0001,2277,2277-149896-0004,2277,original,0.6259799003601074
different_speaker,2277-149896-0001,2277,2035-147960-0000,2035,original,0.14042320847511292
different_speaker,2277-149896-0001,2277,2035-147960-0001,2035,original,0.09421730786561966
different_speaker,2277-149896-0001,2277,2035-147960-0002,2035,original,0.13904455304145813
different_speaker,2277-149896-0001,2277,2035-147960-0003,2035,original,0.18389736115932465
different_speaker,2277-149896-0001,2277,2035-147960-0004,2035,original,0.11812064051628113
different_speaker,2277-149896-0001,2277,2086-149214-0000,2086,original,-0.012655983678996563
different_speaker,2277-149896-0001,2277,2086-149214-0001,2086,original,0.030413556843996048
different_speaker,2277-149896-0001,2277,2086-149214-0002,2086,original,0.02712332271039486
different_speaker,2277-149896-0001,2277,2086-149214-0003,2086,original,-0.020152000710368156
different_speaker,2277-149896-0001,2277,2086-149214-0004,2086,original,0.034306250512599945
different_speaker,2277-149896-0001,2277,7976-110124-0000,7976,original,0.15571275353431702
different_speaker,2277-149896-0001,2277,7976-110124-0001,7976,original,0.26161524653434753
