utterance_id,speaker_id,condition,scoring_rule,reference_words,substitutions,deletions,insertions,wer
2277-149896-0000,2277,original,legacy,22,0,0,0,0.0
2277-149896-0000,2277,original,english_mr_mister_v1,22,0,0,0,0.0
2277-149896-0000,2277,pitch_-3,legacy,22,5,1,1,0.3181818181818182
2277-149896-0000,2277,pitch_-3,english_mr_mister_v1,22,5,1,1,0.3181818181818182
2277-149896-0000,2277,pitch_+3,legacy,22,1,0,0,0.045454545454545456
2277-149896-0000,2277,pitch_+3,english_mr_mister_v1,22,1,0,0,0.045454545454545456
2277-149896-0001,2277,original,legacy,26,0,0,0,0.0
2277-149896-0001,2277,original,english_mr_mister_v1,26,0,0,0,0.0
2277-149896-0001,2277,pitch_-3,legacy,26,1,0,0,0.038461538461538464
2277-149896-0001,2277,pitch_-3,english_mr_mister_v1,26,1,0,0,0.038461538461538464
2277-149896-0001,2277,pitch_+3,legacy,26,0,0,0,0.0
2277-149896-0001,2277,pitch_+3,english_mr_mister_v1,26,0,0,0,0.0
2277-149896-0002,2277,original,legacy,12,0,0,0,0.0
2277-149896-0002,2277,original,english_mr_mister_v1,12,0,0,0,0.0
2277-149896-0002,2277,pitch_-3,legacy,12,5,0,1,0.5
2277-149896-0002,2277,pitch_-3,english_mr_mister_v1,12,5,0,1,0.5
2277-149896-0002,2277,pitch_+3,legacy,12,3,0,1,0.3333333333333333
2277-149896-0002,2277,pitch_+3,english_mr_mister_v1,12,3,0,1,0.3333333333333333
2277-149896-0003,2277,original,legacy,7,0,0,0,0.0
2277-149896-0003,2277,original,english_mr_mister_v1,7,0,0,0,0.0
2277-149896-0003,2277,pitch_-3,legacy,7,4,0,0,0.5714285714285714
2277-149896-0003,2277,pitch_-3,english_mr_mister_v1,7,4,0,0,0.5714285714285714
2277-149896-0003,2277,pitch_+3,legacy,7,0,1,0,0.14285714285714285
2277-149896-0003,2277,pitch_+3,english_mr_mister_v1,7,0,1,0,0.14285714285714285
2277-149896-0004,2277,original,legacy,7,0,0,0,0.0
