utterance_id,speaker_id,condition,reference,transcript,wer,speaker_cosine_to_original,scoring_rule,reference_normalized,transcript_normalized,wer_normalized,wer_change
1272-128104-0000,1272,original,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL ,0.0588235294117647,1.0,english_mr_mister_v1,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,0.0,-0.0588235294117647
1272-128104-0000,1272,pitch_-3,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME YOU AS GOSPEL ,0.1764705882352941,0.1956065446138382,english_mr_mister_v1,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME YOU AS GOSPEL,0.11764705882352941,-0.05882352941176469
1272-128104-0000,1272,pitch_+3,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL ,0.0588235294117647,0.2208829820156097,english_mr_mister_v1,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,0.0,-0.0588235294117647
1272-128104-0001,1272,original,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MR QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER ,0.1,1.0,english_mr_mister_v1,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,0.0,-0.1
1272-128104-0001,1272,pitch_+3,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MR COULTER'S MANNER LESS INTERESTING THAN HIS MATTER ,0.2,0.1279981136322021,english_mr_mister_v1,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MISTER COULTER'S MANNER LESS INTERESTING THAN HIS MATTER,0.1,-0.1
1272-128104-0004,1272,original,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LYNILLE'S PICTURES ARE A SORT OF UP GUARDS AND ATOM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MR BURKETT FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MR CARKER USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR A TURKISH BATH NEXT MAN ,0.1470588235294117,1.0,english_mr_mister_v1,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LYNILLE'S PICTURES ARE A SORT OF UP GUARDS AND ATOM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MISTER BURKETT FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR A TURKISH BATH NEXT MAN,0.10294117647058823,-0.044117647058823456
1272-128104-0004,1272,pitch_-3,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,THE NELL'S VICTORS ARE A SORT OF UP GUARD AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO HOME MR BURKE FOSTER'S LANDSCAPE SMILED AT ONE MUCH IN THE SAME WAY THAT MR CARCORD USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SINNER A CHEERFUL SLAP IN THE BACK BEFORE HE SAVES FROM A SHAMPOOER AND A TURKISH MOUTH NEXT MAN ,0.3088235294117647,0.3095255494117737,english_mr_mister_v1,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,THE NELL'S VICTORS ARE A SORT OF UP GUARD AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO HOME MISTER BURKE FOSTER'S LANDSCAPE SMILED AT ONE MUCH IN THE SAME WAY THAT MISTER CARCORD USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SINNER A CHEERFUL SLAP IN THE BACK BEFORE HE SAVES FROM A SHAMPOOER AND A TURKISH MOUTH NEXT MAN,0.2647058823529412,-0.04411764705882354
1272-128104-0004,1272,pitch_+3,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LIDELL'S PICTURES ARE A SORT OF UP GUARDS AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MR BIRKE FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MR CARKER USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP IN THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR IN A TURKISH BATH NEXT MAN ,0.1617647058823529,0.2440197169780731,english_mr_mister_v1,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LIDELL'S PICTURES ARE A SORT OF UP GUARDS AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKE FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP IN THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR IN A TURKISH BATH NEXT MAN,0.11764705882352941,-0.044117647058823484
1272-128104-0006,1272,original,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MR QUILTER WRITES WITH EQUAL LUCIDITY ,0.25,1.0,english_mr_mister_v1,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,0.16666666666666666,-0.08333333333333334
1272-128104-0006,1272,pitch_-3,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MR QUILTER BRACE WAS EQUAL TO CITY ,0.5833333333333334,0.2629800736904144,english_mr_mister_v1,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,UNDER GENERAL PRINCIPLES OF ART MISTER QUILTER BRACE WAS EQUAL TO CITY,0.5,-0.08333333333333337
